hash,p,d,q,P,D,Q,s,AIC,MACAPE
55559,0.0,1.0,2.0,0.0,1.0,2.0,12.0,,
56470,0.0,1.0,2.0,0.0,1.0,3.0,12.0,,
83506,0.0,1.0,2.0,0.0,2.0,0.0,12.0,1933.83462098,-0.0995162139776
84417,0.0,1.0,2.0,0.0,2.0,1.0,12.0,1891.46901125,0.154492594634
85328,0.0,1.0,2.0,0.0,2.0,2.0,12.0,,
86239,0.0,1.0,2.0,0.0,2.0,3.0,12.0,,
38378,0.0,1.0,2.0,1.0,0.0,0.0,12.0,2401.78061453,0.121153581047
39289,0.0,1.0,2.0,1.0,0.0,1.0,12.0,2392.36442016,0.110354159887
40200,0.0,1.0,2.0,1.0,0.0,2.0,12.0,2394.65785327,0.111143254339
41111,0.0,1.0,2.0,1.0,0.0,3.0,12.0,,
68147,0.0,1.0,2.0,1.0,1.0,0.0,12.0,2082.28286385,0.112855234572
69058,0.0,1.0,2.0,1.0,1.0,1.0,12.0,2078.8703991,0.108963924095
69969,0.0,1.0,2.0,1.0,1.0,2.0,12.0,,
70880,0.0,1.0,2.0,1.0,1.0,3.0,12.0,,
97916,0.0,1.0,2.0,1.0,2.0,0.0,12.0,1905.2446897,0.171494281551
98827,0.0,1.0,2.0,1.0,2.0,1.0,12.0,1890.94276241,0.140648654502
99738,0.0,1.0,2.0,1.0,2.0,2.0,12.0,,
630,0.0,1.0,2.0,1.0,2.0,3.0,12.0,,
52788,0.0,1.0,2.0,2.0,0.0,0.0,12.0,2396.03149877,0.110354229447
53699,0.0,1.0,2.0,2.0,0.0,1.0,12.0,2394.22566718,0.110258607307
54610,0.0,1.0,2.0,2.0,0.0,2.0,12.0,,
55521,0.0,1.0,2.0,2.0,0.0,3.0,12.0,,
82557,0.0,1.0,2.0,2.0,1.0,0.0,12.0,2081.35660663,0.111972899087
83468,0.0,1.0,2.0,2.0,1.0,1.0,12.0,2080.86192977,0.109025975623
84379,0.0,1.0,2.0,2.0,1.0,2.0,12.0,,
85290,0.0,1.0,2.0,2.0,1.0,3.0,12.0,,
12307,0.0,1.0,2.0,2.0,2.0,0.0,12.0,1895.86080947,0.148208181723
13218,0.0,1.0,2.0,2.0,2.0,1.0,12.0,1892.19609108,0.140192481572
14129,0.0,1.0,2.0,2.0,2.0,2.0,12.0,,
15040,0.0,1.0,2.0,2.0,2.0,3.0,12.0,,
67198,0.0,1.0,2.0,3.0,0.0,0.0,12.0,2396.07078287,0.109993735081
68109,0.0,1.0,2.0,3.0,0.0,1.0,12.0,2396.20135982,0.110216135866
69020,0.0,1.0,2.0,3.0,0.0,2.0,12.0,,
69931,0.0,1.0,2.0,3.0,0.0,3.0,12.0,,
96967,0.0,1.0,2.0,3.0,1.0,0.0,12.0,2082.19272182,0.110767335215
97878,0.0,1.0,2.0,3.0,1.0,1.0,12.0,2082.69434211,0.108942722205
98789,0.0,1.0,2.0,3.0,1.0,2.0,12.0,,
99700,0.0,1.0,2.0,3.0,1.0,3.0,12.0,,
26717,0.0,1.0,2.0,3.0,2.0,0.0,12.0,1894.5096787,0.142904742399
27628,0.0,1.0,2.0,3.0,2.0,1.0,12.0,1894.17327639,0.140029965635
28539,0.0,1.0,2.0,3.0,2.0,2.0,12.0,1895.94034584,0.138856591463
29450,0.0,1.0,2.0,3.0,2.0,3.0,12.0,,
48989,0.0,1.0,3.0,0.0,0.0,0.0,12.0,2437.17652214,0.148606992248
49900,0.0,1.0,3.0,0.0,0.0,1.0,12.0,2416.73322887,0.141635153061
50811,0.0,1.0,3.0,0.0,0.0,2.0,12.0,2409.34994894,0.129154584892
51722,0.0,1.0,3.0,0.0,0.0,3.0,12.0,,
78758,0.0,1.0,3.0,0.0,1.0,0.0,12.0,2099.4568897,0.123178602183
79669,0.0,1.0,3.0,0.0,1.0,1.0,12.0,2078.2022278,0.110208669137
80580,0.0,1.0,3.0,0.0,1.0,2.0,12.0,,
81491,0.0,1.0,3.0,0.0,1.0,3.0,12.0,,
8508,0.0,1.0,3.0,0.0,2.0,0.0,12.0,1934.66391696,-0.0161219056295
9419,0.0,1.0,3.0,0.0,2.0,1.0,12.0,1891.3570134,0.155214052854
10330,0.0,1.0,3.0,0.0,2.0,2.0,12.0,,
11241,0.0,1.0,3.0,0.0,2.0,3.0,12.0,,
63399,0.0,1.0,3.0,1.0,0.0,0.0,12.0,2402.34849481,0.120758978833
64310,0.0,1.0,3.0,1.0,0.0,1.0,12.0,2392.48829665,0.110089474905
65221,0.0,1.0,3.0,1.0,0.0,2.0,12.0,2394.71624406,0.110860677411
66132,0.0,1.0,3.0,1.0,0.0,3.0,12.0,,
93168,0.0,1.0,3.0,1.0,1.0,0.0,12.0,2083.01604688,0.113150377271
94079,0.0,1.0,3.0,1.0,1.0,1.0,12.0,2079.81493975,0.109240051171
94990,0.0,1.0,3.0,1.0,1.0,2.0,12.0,,
95901,0.0,1.0,3.0,1.0,1.0,3.0,12.0,,
22918,0.0,1.0,3.0,1.0,2.0,0.0,12.0,1905.37748148,0.173337951237
23829,0.0,1.0,3.0,1.0,2.0,1.0,12.0,1890.90411047,0.140580248785
24740,0.0,1.0,3.0,1.0,2.0,2.0,12.0,,
25651,0.0,1.0,3.0,1.0,2.0,3.0,12.0,,
77809,0.0,1.0,3.0,2.0,0.0,0.0,12.0,2396.29509037,0.110134446198
78720,0.0,1.0,3.0,2.0,0.0,1.0,12.0,2394.33945473,0.110045307502
79631,0.0,1.0,3.0,2.0,0.0,2.0,12.0,,
80542,0.0,1.0,3.0,2.0,0.0,3.0,12.0,,
7559,0.0,1.0,3.0,2.0,1.0,0.0,12.0,2082.15523723,0.111849768242
8470,0.0,1.0,3.0,2.0,1.0,1.0,12.0,2081.80492934,0.109288092112
9381,0.0,1.0,3.0,2.0,1.0,2.0,12.0,,
10292,0.0,1.0,3.0,2.0,1.0,3.0,12.0,,
37328,0.0,1.0,3.0,2.0,2.0,0.0,12.0,1896.11888945,0.148363147304
38239,0.0,1.0,3.0,2.0,2.0,1.0,12.0,1892.14390607,0.140156406182
