hash,p,d,q,P,D,Q,s,AIC,MACAPE
25047,0.0,2.0,0.0,2.0,1.0,3.0,12.0,-1367.19322355,0.00388348706784
6955,0.0,2.0,0.0,3.0,0.0,0.0,12.0,-1456.92388085,0.00172828417762
7866,0.0,2.0,0.0,3.0,0.0,1.0,12.0,-1454.99510273,0.00172799128386
36724,0.0,2.0,0.0,3.0,1.0,0.0,12.0,-1390.45416258,0.00379094479819
37635,0.0,2.0,0.0,3.0,1.0,1.0,12.0,-1381.51050426,0.00381703974171
38546,0.0,2.0,0.0,3.0,1.0,2.0,12.0,-1385.78852788,0.00381351068825
39457,0.0,2.0,0.0,3.0,1.0,3.0,12.0,-1389.79557661,0.00386044942382
88765,0.0,2.0,1.0,0.0,0.0,0.0,12.0,,
89676,0.0,2.0,1.0,0.0,0.0,1.0,12.0,,
90587,0.0,2.0,1.0,0.0,0.0,2.0,12.0,,
91498,0.0,2.0,1.0,0.0,0.0,3.0,12.0,,
18515,0.0,2.0,1.0,0.0,1.0,0.0,12.0,,
19426,0.0,2.0,1.0,0.0,1.0,1.0,12.0,,
20337,0.0,2.0,1.0,0.0,1.0,2.0,12.0,,
21248,0.0,2.0,1.0,0.0,1.0,3.0,12.0,,
3156,0.0,2.0,1.0,1.0,0.0,0.0,12.0,,
4067,0.0,2.0,1.0,1.0,0.0,1.0,12.0,,
4978,0.0,2.0,1.0,1.0,0.0,2.0,12.0,,
5889,0.0,2.0,1.0,1.0,0.0,3.0,12.0,,
32925,0.0,2.0,1.0,1.0,1.0,0.0,12.0,,
33836,0.0,2.0,1.0,1.0,1.0,1.0,12.0,,
34747,0.0,2.0,1.0,1.0,1.0,2.0,12.0,,
35658,0.0,2.0,1.0,1.0,1.0,3.0,12.0,,
17566,0.0,2.0,1.0,2.0,0.0,0.0,12.0,,
18477,0.0,2.0,1.0,2.0,0.0,1.0,12.0,,
19388,0.0,2.0,1.0,2.0,0.0,2.0,12.0,,
20299,0.0,2.0,1.0,2.0,0.0,3.0,12.0,,
47335,0.0,2.0,1.0,2.0,1.0,0.0,12.0,,
48246,0.0,2.0,1.0,2.0,1.0,1.0,12.0,,
49157,0.0,2.0,1.0,2.0,1.0,2.0,12.0,,
50068,0.0,2.0,1.0,2.0,1.0,3.0,12.0,,
31976,0.0,2.0,1.0,3.0,0.0,0.0,12.0,,
33798,0.0,2.0,1.0,3.0,0.0,2.0,12.0,,
61745,0.0,2.0,1.0,3.0,1.0,0.0,12.0,,
62656,0.0,2.0,1.0,3.0,1.0,1.0,12.0,,
63567,0.0,2.0,1.0,3.0,1.0,2.0,12.0,,
64478,0.0,2.0,1.0,3.0,1.0,3.0,12.0,,
13767,0.0,2.0,2.0,0.0,0.0,0.0,12.0,,
14678,0.0,2.0,2.0,0.0,0.0,1.0,12.0,,
15589,0.0,2.0,2.0,0.0,0.0,2.0,12.0,,
16500,0.0,2.0,2.0,0.0,0.0,3.0,12.0,,
43536,0.0,2.0,2.0,0.0,1.0,0.0,12.0,,
44447,0.0,2.0,2.0,0.0,1.0,1.0,12.0,,
45358,0.0,2.0,2.0,0.0,1.0,2.0,12.0,,
46269,0.0,2.0,2.0,0.0,1.0,3.0,12.0,,
28177,0.0,2.0,2.0,1.0,0.0,0.0,12.0,,
29088,0.0,2.0,2.0,1.0,0.0,1.0,12.0,,
29999,0.0,2.0,2.0,1.0,0.0,2.0,12.0,,
30910,0.0,2.0,2.0,1.0,0.0,3.0,12.0,,
57946,0.0,2.0,2.0,1.0,1.0,0.0,12.0,,
58857,0.0,2.0,2.0,1.0,1.0,1.0,12.0,,
59768,0.0,2.0,2.0,1.0,1.0,2.0,12.0,,
60679,0.0,2.0,2.0,1.0,1.0,3.0,12.0,,
42587,0.0,2.0,2.0,2.0,0.0,0.0,12.0,,
43498,0.0,2.0,2.0,2.0,0.0,1.0,12.0,,
44409,0.0,2.0,2.0,2.0,0.0,2.0,12.0,,
45320,0.0,2.0,2.0,2.0,0.0,3.0,12.0,,
72356,0.0,2.0,2.0,2.0,1.0,0.0,12.0,,
73267,0.0,2.0,2.0,2.0,1.0,1.0,12.0,,
74178,0.0,2.0,2.0,2.0,1.0,2.0,12.0,,
75089,0.0,2.0,2.0,2.0,1.0,3.0,12.0,,
56997,0.0,2.0,2.0,3.0,0.0,0.0,12.0,,
58819,0.0,2.0,2.0,3.0,0.0,2.0,12.0,,
59730,0.0,2.0,2.0,3.0,0.0,3.0,12.0,,
86766,0.0,2.0,2.0,3.0,1.0,0.0,12.0,,
87677,0.0,2.0,2.0,3.0,1.0,1.0,12.0,,
88588,0.0,2.0,2.0,3.0,1.0,2.0,12.0,,
89499,0.0,2.0,2.0,3.0,1.0,3.0,12.0,,
38788,0.0,2.0,3.0,0.0,0.0,0.0,12.0,,
39699,0.0,2.0,3.0,0.0,0.0,1.0,12.0,,
40610,0.0,2.0,3.0,0.0,0.0,2.0,12.0,,
41521,0.0,2.0,3.0,0.0,0.0,3.0,12.0,,
68557,0.0,2.0,3.0,0.0,1.0,0.0,12.0,,
69468,0.0,2.0,3.0,0.0,1.0,1.0,12.0,,
70379,0.0,2.0,3.0,0.0,1.0,2.0,12.0,,
71290,0.0,2.0,3.0,0.0,1.0,3.0,12.0,,
53198,0.0,2.0,3.0,1.0,0.0,0.0,12.0,,
55020,0.0,2.0,3.0,1.0,0.0,2.0,12.0,,
55931,0.0,2.0,3.0,1.0,0.0,3.0,12.0,,
82967,0.0,2.0,3.0,1.0,1.0,0.0,12.0,,
